Year,PoolExp,PoolIn,Gap,RealGDP
2010,1939.814568,1877.4,62.414568,412119.3
2011,2381.256171,2348.01,33.246171,487940.2
2012,2900.39346,2933.175,-32.78154,538580
2013,3477.89457,3428.25,49.64457,592963.2
2014,4008.75372,3918.6,90.15372,641280.6
2015,4532.86206,4460.925,71.93706,685992.9
2016,5060.81,4899.972,160.838,740060.8
2017,5660.06,5641.58175,18.47825,820754.3
2018,6172.200326,6114.496988,57.70333714,
2019,6746.039739,6535.90525,210.1344891,
2020,7339.492588,6998.681971,340.8106165,
2021,7820.242183,7300.122765,520.1194181,
2022,8314.189365,7621.405973,692.7833913,
2023,8849.515085,7921.288164,928.2269214,
2024,9399.484695,8187.365296,1212.119399,
2025,9979.187608,8477.307573,1501.880034,
2026,10560.56358,8764.221108,1796.342471,
2027,11245.96851,9064.542865,2181.425648,
2028,12024.4954,9387.17088,2637.324524,
2029,12810.30783,9691.450362,3118.857469,
2030,13622.31833,10020.22027,3602.098062,
2031,14466.25887,10323.26019,4142.998676,
2032,15310.05119,10653.74065,4656.310537,
2033,16260.65481,11010.07969,5250.575128,
2034,17242.45709,11389.23769,5853.219404,
2035,18290.56539,11800.29645,6490.268946,
2036,19353.08214,12251.27831,7101.80383,
2037,20468.19147,12727.18049,7741.010973,
2038,21607.63541,13237.03746,8370.59795,
2039,22752.65664,13768.93591,8983.720732,
2040,23909.75624,14319.93498,9589.82126,
2041,25118.72589,14904.51101,10214.21488,
2042,26357.3862,15497.16432,10860.22188,
2043,27679.67527,16075.92376,11603.75152,
2044,29048.91696,16707.12896,12341.788,
2045,30458.53866,17355.02945,13103.50921,
2046,31908.2749,18022.98078,13885.29412,
2047,33423.31016,18710.47558,14712.83458,
2048,34919.40422,19388.63197,15530.77224,
2049,36426.70698,20094.77491,16331.93207,
2050,37940.41648,20805.27557,17135.14091,
